Arquivo;Reuniao;Data (AAAA/MM);Tema_Classificado;Ocorrencias;Relevancia_(%);Palavras_Chave_Ativadas;Trecho_Prova_(Auditoria)
03_2013_Pleno_ordin_ata.pdf;3ª Reunião Ordinária;2013;Composição e Governança do Conselho;10;20.4;conselho, representante;3ª Reunião do Conselho Municipal de Transporte e Trânsito - CMTT São Paulo - 31/10/2013 Ed. [...] Pauta da Reunião conjunta com o Conselho Municipal de Transporte e Trânsito, Conselho Municipal de Política Urbana e Conselho Municipal da Cidade de São Paulo.
03_2013_Pleno_ordin_ata.pdf;3ª Reunião Ordinária;2013;Mobilidade Urbana: Organização Geral e Prestação de Contas;7;14.3;orcament, plano de mobilidade, plano diretor, tarifa; Apresentação dos Eixos Estruturantes e a Metodologia de Elaboração do Plano de Mobilidade Urbana 2. [...] José Pivato  Informes do Vereador Nabil Nobuki integrante da Comissão de Política Urbana, Metropolitana e Meio Ambiente, sobre as Audiências Públicas a Comissão está realizando e que terão como objeto a discussão do Projeto de Lei 688/2013 – Executivo sobre o Plano Diretor Estratégico do Município de São Paulo.
03_2013_Pleno_ordin_ata.pdf;3ª Reunião Ordinária;2013;Estrutura e Organização da Rede Viária;6;12.2;cet, corredor, via;Diretor de Planejamento e Educação do Trânsito da CET Tadeu Leite Duarte 3. [...] Gostaria de saber mais sobre o modelo dos Corredores.
03_2013_Pleno_ordin_ata.pdf;3ª Reunião Ordinária;2013;Mobilidade Ativa: Acessibilidade e Pedestres;4;8.2;calcada, pedestre;Percival Maricatto dentre dos principais aspectos da Carta e destaca o conceito orientador do seu trabalho a redução do uso de carro, a priorização do transporte coletivo, do pedestre, da acessibilidade, e o incentivo aos modos alternativos ao transporte motorizado individual. [...] Daniel Kairoz - Cooperativa Paulista de Dança: Priorizar o pedestre e pensar a mobilidade e a paisagem urbana são desafios que tem repensar.
04_2013_Pleno_ordin_ata.pdf;4ª Reunião Ordinária;2013;Estrutura e Organização da Rede Viária;15;26.3;corredor, faixa exclusiva, via;Apresentação da Proposta de Calendário 2014 Proposta aprovada pelos conselheiros com encaminhamento que a 5ª Reunião discuta a Pauta: Apresentação do estudo técnico da circulação de taxi nos corredores e a influência na velocidade dos ônibus. [...] Jaime Lerner que propõe a criação de uma rede expressa de corredores para cidade.
04_2013_Pleno_ordin_ata.pdf;4ª Reunião Ordinária;2013;Transporte Público Coletivo;12;21.1;onibus, sptrans, transporte coletivo;Apresentação da Proposta de Calendário 2014 Proposta aprovada pelos conselheiros com encaminhamento que a 5ª Reunião discuta a Pauta: Apresentação do estudo técnico da circulação de taxi nos corredores e a influência na velocidade dos ônibus. [...] Debate Helio Firmo – FUSP- Federação dos Usuários de Transporte Coletivos Rodoviàrios, Ferroviários, Hidroviários e Aéreos do Estado de São Paulo: São Paulo tem a característica de ser cercada por cidades dormitórios – acesso por rodovias como a cidade lida com essas rodovias é possível essa integração?
04_2013_Pleno_ordin_ata.pdf;4ª Reunião Ordinária;2013;Composição e Governança do Conselho;9;15.8;conselheiro, conselho, eleic;"RELATÓRIO DA 4ª REUNIÃO DO CONSELHO MUNICIPAL DE TRANSPORTE E TRÂNSITO Local: Museu dos Transportes Público Gaetano Ferolla 19/12/2013 Pauta: 8h30 - Recepção dos conselheiros e convidados 8h45 - Abertura (com 50% mais um dos conselheiros) 9h00 - Abertura (com qualquer numero de conselheiros presentes) 9h00 – Apresentação da Proposta de Eleição dos Conselheiros da Sociedade Civil; Aprovação do Regimento Interno do Conselho; Apresentação da proposta de Calendário de 2014 9h30 – Contribuição para o Plano de Mobilidade Urbana preparada pela SPURBANUSS com a apresentação do Arquiteto, Urbanista e Ex-Governador do Paraná, Jaime Lerner 11h - Previsão de Encerramento 1. [...] Apresentação da Proposta de Eleição Direta Apresentação da Proposta de Eleição Direta dos membros definitivos da Sociedade Civil em Pré Conferências temáticas e regionais conforme calendário abaixo."
04_2013_Pleno_ordin_ata.pdf;4ª Reunião Ordinária;2013;Transporte Individual: Táxis;7;12.3;taxi, taxista;Apresentação da Proposta de Calendário 2014 Proposta aprovada pelos conselheiros com encaminhamento que a 5ª Reunião discuta a Pauta: Apresentação do estudo técnico da circulação de taxi nos corredores e a influência na velocidade dos ônibus. [...] Propõe que os taxistas se unam para elaborar uma proposta.
04_2013_Pleno_ordin_ata.pdf;4ª Reunião Ordinária;2013;Mobilidade Urbana: Organização Geral e Prestação de Contas;5;8.8;plano de mobilidade, tarifa;"RELATÓRIO DA 4ª REUNIÃO DO CONSELHO MUNICIPAL DE TRANSPORTE E TRÂNSITO Local: Museu dos Transportes Público Gaetano Ferolla 19/12/2013 Pauta: 8h30 - Recepção dos conselheiros e convidados 8h45 - Abertura (com 50% mais um dos conselheiros) 9h00 - Abertura (com qualquer numero de conselheiros presentes) 9h00 – Apresentação da Proposta de Eleição dos Conselheiros da Sociedade Civil; Aprovação do Regimento Interno do Conselho; Apresentação da proposta de Calendário de 2014 9h30 – Contribuição para o Plano de Mobilidade Urbana preparada pela SPURBANUSS com a apresentação do Arquiteto, Urbanista e Ex-Governador do Paraná, Jaime Lerner 11h - Previsão de Encerramento 1. [...] 9h00 Abertura e Apresentação Proposta de Construção do Plano de Mobilidade Urbana 9h30 Apresentação dos Candidatos de debate sobre a Mobilidade Urbana com enfoque no segmento 10h00 Inicio da Votação 10h40 Encerramento da Votação 11h Contagem dos votos e divulgação dos resultados."
04_2013_Pleno_ordin_ata.pdf;4ª Reunião Ordinária;2013;Segurança Viária;3;5.3;velocidade;Apresentação da Proposta de Calendário 2014 Proposta aprovada pelos conselheiros com encaminhamento que a 5ª Reunião discuta a Pauta: Apresentação do estudo técnico da circulação de taxi nos corredores e a influência na velocidade dos ônibus. [...] Já para próxima reunião de janeiro a proposta é realizar apresentação do estudo técnico da circulação de taxi nos corredores e a influência na velocidade dos ônibus.
